Scilab 5.5.2 (Apr  6 2016, 20:24:15)
192.000000  7.681271  7.447249
193.000000  7.815526  7.580798
194.000000  7.852294  7.813317
195.000000  8.046992  7.932780
196.000000  8.186545  8.214124
197.000000  8.317200  8.490974
198.000000  8.475776  8.714170
199.000000  8.919614  8.974358
200.000000  8.929150  9.069443
201.000000  9.048434  9.369217
202.000000  9.318843  9.586003
203.000000  9.686585  9.709647
204.000000  9.800026  9.812475
205.000000  9.961116  10.020524
206.000000  10.232028  10.135407
207.000000  10.542517  10.456571
208.000000  10.570733  10.689082
209.000000  10.823975  10.831005
210.000000  10.969025  10.899018
211.000000  11.131454  11.037013
212.000000  11.223434  11.250153
213.000000  11.607595  11.601780
214.000000  11.733654  11.720145
215.000000  11.800661  11.857783
216.000000  12.079649  12.132409
217.000000  12.280087  12.303974
218.000000  12.391749  12.565752
219.000000  12.523793  12.999874
220.000000  12.570874  13.099396
221.000000  12.848716  13.142512
222.000000  12.934701  13.469207
223.000000  13.145818  13.741618
224.000000  13.335749  13.873111
225.000000  13.613556  13.995646
226.000000  13.931071  14.156302
227.000000  14.104884  14.446084
228.000000  14.192138  14.496215
229.000000  14.503898  14.827054
230.000000  14.846437  15.159980
231.000000  15.056568  15.242828
232.000000  15.240501  15.463490
233.000000  15.496936  15.555406
234.000000  15.747289  15.796018
235.000000  15.817120  16.135052
236.000000  16.149429  16.233058
237.000000  16.199507  16.530645
238.000000  16.431523  16.685100
239.000000  16.678902  16.852340
240.000000  16.852376  17.135933
241.000000  16.978107  17.272782
242.000000  17.426867  17.424676
243.000000  17.526003  17.766237
244.000000  17.624221  17.941982
245.000000  17.919560  18.286820
246.000000  17.960146  18.343638
247.000000  18.133773  18.572482
248.000000  18.348274  18.786444
249.000000  18.747890  19.056877
250.000000  18.947813  19.258256
251.000000  19.084418  19.388247
252.000000  19.413873  19.741501
253.000000  19.627281  19.846552
254.000000  19.763689  20.082110
255.000000  20.082535  20.354371
256.000000  20.410045  20.478633
257.000000  20.633668  20.859750
258.000000  20.882077  21.235990
259.000000  20.928462  21.434115
260.000000  20.955606  21.606105
261.000000  21.240064  21.848981
262.000000  21.492868  21.996877
263.000000  21.813984  22.193595
264.000000  22.074928  22.268310
265.000000  22.344055  22.528244
266.000000  22.625151  23.102182
267.000000  22.768745  23.208976
268.000000  23.065250  23.286246
269.000000  23.166181  23.584811
270.000000  23.391019  23.630001
271.000000  23.764104  23.977036
272.000000  24.012366  24.076407
273.000000  24.363097  24.658757
274.000000  24.570172  24.888222
275.000000  24.670529  25.183737
276.000000  25.031955  25.401222
277.000000  25.414954  25.464058
278.000000  25.585082  25.828090
279.000000  26.016317  26.141316
280.000000  26.113275  26.387605
281.000000  26.557209  26.626591
282.000000  26.729731  27.166774
283.000000  27.009172  27.562539
284.000000  27.522965  27.727942
285.000000  27.605359  28.184948
286.000000  27.752380  28.334498
287.000000  27.990877  28.443309
288.000000  28.632825  28.874063
289.000000  29.015372  29.612522
290.000000  29.209298  29.674849
291.000000  29.665131  30.355629
292.000000  29.795046  30.576330
293.000000  30.139605  30.625215
294.000000  30.903168  31.469458
295.000000  30.980278  31.699128
296.000000  31.208555  32.048142
297.000000  31.894110  32.315649
298.000000  32.549399  33.432554
299.000000  32.751215  33.747750
300.000000  33.773404  34.492828
